,player_id,court_surface,first_serve_made_perc,tie_breaks_won_perc,break_points_made_player_perc,break_points_made_opponent_perc,break_points_saved_player_perc,service_games_won_perc,return_games_won_perc,aces_to_total_serves,aces_to_serves_made
0,novak-djokovic,Hard,0.39356666293935666,0.6493506493506493,0.30718270571827055,0.6012121212121212,0.3316532258064516,0.9968430826369545,0.11290622098421542,0.04461590070446159,0.11336300786059286
1,novak-djokovic,Clay,0.4026013081723179,0.64,0.30791161796151106,0.6207289293849658,0.3055045871559633,1.0023364485981308,0.09190031152647975,0.02856928050522517,0.07096171802054155
2,novak-djokovic,Grass,0.40639861651534803,0.6333333333333333,0.2673559822747415,0.575,0.3695652173913043,0.9841954022988506,0.10488505747126436,0.057933419801124084,0.1425531914893617
3,novak-djokovic,Carpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,novak-djokovic,All surfaces,0.3980114300282564,0.6439393939393939,0.3019401778496362,0.6038781163434903,0.32798165137614677,0.9964686998394864,0.10593900481540931,0.04204465784274151,0.10563681007793317
5,daniil-medvedev,Hard,0.3697281793885666,0.5151515151515151,0.29985955056179775,0.6171470805617147,0.31017964071856285,0.6959553695955369,0.201301720130172,0.05684114464506877,0.153737658674189
6,daniil-medvedev,Clay,0.3548864758144126,0.391304347826087,0.2916666666666667,0.6173120728929385,0.30996309963099633,0.3367852318775326,0.3845114813147231,0.031095755182625865,0.08762169680111266
7,daniil-medvedev,Grass,0.3863042341871406,0.7272727272727273,0.3055555555555556,0.6,0.3333333333333333,0.7256977863330125,0.1867179980750722,0.0687401986408782,0.17794316644113667
8,daniil-medvedev,Carpet,0.38095238095238093,0.75,0.3235294117647059,0.58,0.3620689655172414,0.11926605504587157,0.4969418960244648,0.047619047619047616,0.125
9,daniil-medvedev,All surfaces,0.37006641566902154,0.5277777777777778,0.29971181556195964,0.6141769743101808,0.31409759876065063,0.5567185978578384,0.2725170399221032,0.054190109564702396,0.14643347050754457
10,alexander-zverev,Hard,0.3795310186732891,0.5833333333333334,0.2846441947565543,0.611318407960199,0.3179043743641913,0.840147179067866,0.11201962387571546,0.05654520273174459,0.1489870391342645
11,alexander-zverev,Clay,0.3819117016716674,0.673469387755102,0.30466472303207,0.6327361563517915,0.2902187902187902,0.6903681290973273,0.19490670700958143,0.04050578654093442,0.10606060606060606
12,alexander-zverev,Grass,0.39052762775238886,0.5789473684210527,0.3201219512195122,0.6272401433691757,0.29714285714285715,0.8161512027491409,0.12800687285223367,0.0635646032405484,0.16276595744680852
13,alexander-zverev,Carpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,alexander-zverev,All surfaces,0.3817010892807728,0.6118421052631579,0.2964869775893398,0.6211878009630819,0.3049095607235142,0.7780882059469167,0.14667730991818,0.05174712585846897,0.13556976207737428
15,rafael-nadal,Hard,0.40545246082636205,0.5972222222222222,0.29959875167186806,0.592686002522068,0.34361702127659577,0.9670138888888888,0.1017795138888889,0.025648647500955454,0.06325932132383745
16,rafael-nadal,Clay,0.4097530412990132,0.631578947368421,0.3198329853862213,0.6030478955007257,0.32912154031287605,0.9973031283710896,0.13646170442286948,0.017281887954889573,0.04217635066258919
17,rafael-nadal,Grass,0.40853658536585363,0.35714285714285715,0.29,0.5729537366548043,0.37267080745341613,0.9899244332493703,0.06423173803526448,0.04024390243902439,0.09850746268656717
18,rafael-nadal,Carpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,rafael-nadal,All surfaces,0.40748258621426436,0.5806451612903226,0.3088294856217092,0.5953775038520801,0.3398033126293996,0.9813391877058177,0.11262349066959386,0.023503269091064486,0.057679198783493264
20,stefanos-tsitsipas,Hard,0.3725440379403794,0.5930232558139535,0.2777777777777778,0.6171497584541062,0.3101761252446184,0.4820595986215285,0.2848165416582201,0.06368563685636856,0.17094794271425323
21,stefanos-tsitsipas,Clay,0.36011115321460146,0.6233766233766234,0.30627871362940273,0.612736660929432,0.3160112359550562,0.3034959661928544,0.41260084517864004,0.04041935076417835,0.11224131883549632
22,stefanos-tsitsipas,Grass,0.38352027610008627,0.4,0.24666666666666667,0.6183206106870229,0.30864197530864196,0.5585798816568047,0.24733727810650888,0.06859361518550475,0.17885264341957255
23,stefanos-tsitsipas,Carpet,0.39316239316239315,0.6,0.19230769230769232,0.625,0.3,0.5837837837837838,0.2,0.08376068376068375,0.21304347826086956
24,stefanos-tsitsipas,All surfaces,0.36985151140180306,0.5851063829787234,0.2849298352654057,0.6157760814249363,0.3119834710743802,0.40630316053361987,0.3401378816366729,0.05656708502739968,0.15294539371490024
25,matteo-berrettini,Hard,0.3771379086382334,0.5555555555555556,0.26203966005665724,0.6074918566775245,0.3230563002680965,0.6232029421598128,0.2433968572383818,0.06397488633903442,0.16963260619977039
26,matteo-berrettini,Clay,0.38342255861177776,0.4444444444444444,0.26932668329177056,0.6054054054054054,0.32589285714285715,0.32904576727490276,0.3924618606042477,0.040612885360900866,0.1059220028887819
27,matteo-berrettini,Grass,0.3732142857142857,0.4,0.29577464788732394,0.6162790697674418,0.3113207547169811,0.54,0.25,0.06875,0.18421052631578946
28,matteo-berrettini,Carpet,0.375,0.6470588235294118,0.2708333333333333,0.5789473684210527,0.36363636363636365,0.4214876033057851,0.3202479338842975,0.11337209302325581,0.3023255813953488
29,matteo-berrettini,All surfaces,0.37877075028262036,0.5213675213675214,0.266721044045677,0.6055846422338569,0.3256484149855908,0.4688279301745636,0.3179551122194514,0.0597965133575296,0.1578699340245052
