,court_surface,first_serve_made_perc,tie_breaks_won_perc,break_points_made_player_perc,break_points_made_opponent_perc,break_points_saved_player_perc,service_games_won_perc,return_games_won_perc,aces_to_total_serves,aces_to_serves_made
0,Hard,0.3820273451542949,0.5671087533156499,0.28662180193769216,0.611731062136707,0.3173526422764228,0.7575136243457616,0.1645982841418011,0.0583618420289687,0.15276875535021522
1,Clay,0.38633743025044953,0.5676595744680851,0.30172690763052207,0.6227136464352435,0.3029372776111072,0.6157154633755869,0.24254190511463422,0.034347366664812855,0.08890509688006833
2,Grass,0.39394164653410146,0.5647921760391198,0.2761290322580645,0.6061062947606484,0.32493781094527363,0.7945646703573226,0.13356819325616506,0.06888434615622871,0.17485926345252698
3,Carpet,0.3876747658476992,0.5588235294117647,0.2880324543610548,0.6125244618395304,0.31629392971246006,0.42573662056524353,0.3259170174383644,0.06230487308266594,0.16071428571428573
4,All surfaces,0.3847724576400085,0.5668645744981623,0.2915211664522453,0.615392180968773,0.31249001118747005,0.701409936037048,0.19414475343313695,0.051265476226690594,0.13323582602852088
